Strekningsnavn;Intervallstart;Reell reisetid (sek);Normalreisetid (sek);Forsinkelse (sek);Antall biler;Lengde (m);Stipulert;Hastighet (km/t)
Klett - Studentersamfunnet;01.01.2014 00:00;659;840;0;3;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 00:05;575;840;0;1;12322;;77.15
Klett - Studentersamfunnet;01.01.2014 00:10;674;840;0;2;12322;;65.81
Klett - Studentersamfunnet;01.01.2014 00:15;630;840;0;0;12322;;70.41
Klett - Studentersamfunnet;01.01.2014 00:20;715;840;0;1;12322;;62.04
Klett - Studentersamfunnet;01.01.2014 00:25;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;01.01.2014 00:30;647;840;0;2;12322;;68.56
Klett - Studentersamfunnet;01.01.2014 00:35;607;840;0;3;12322;;73.08
Klett - Studentersamfunnet;01.01.2014 00:40;616;840;0;4;12322;;72.01
Klett - Studentersamfunnet;01.01.2014 00:45;639;840;0;5;12322;;69.42
Klett - Studentersamfunnet;01.01.2014 00:50;636;840;0;5;12322;;69.75
Klett - Studentersamfunnet;01.01.2014 00:55;643;840;0;8;12322;;68.99
Klett - Studentersamfunnet;01.01.2014 01:00;639;840;0;5;12322;;69.42
Klett - Studentersamfunnet;01.01.2014 01:05;655;840;0;4;12322;;67.72
Klett - Studentersamfunnet;01.01.2014 01:10;651;840;0;3;12322;;68.14
Klett - Studentersamfunnet;01.01.2014 01:15;619;840;0;6;12322;;71.66
Klett - Studentersamfunnet;01.01.2014 01:20;623;840;0;4;12322;;71.20
Klett - Studentersamfunnet;01.01.2014 01:25;645;840;0;2;12322;;68.77
Klett - Studentersamfunnet;01.01.2014 01:30;641;840;0;4;12322;;69.20
Klett - Studentersamfunnet;01.01.2014 01:35;650;840;0;4;12322;;68.24
Klett - Studentersamfunnet;01.01.2014 01:40;651;840;0;4;12322;;68.14
Klett - Studentersamfunnet;01.01.2014 01:45;659;840;0;6;12322;;67.31
Klett - Studentersamfunnet;01.01.2014 01:50;624;840;0;3;12322;;71.09
