actualTravelTime;fiveMinuteMean;trafficVolume
894;300;0
238;300;1
2885;300;0
310;894;5
261;1597.5;3
287;1597.5;6
277;287;5
277;300;4
305;277;2
305;277;5
226;305;5
292;305;6
612;300;1
299;300;1
318;300;3
324;300;3
298;300;2
1252;300;2
334;300;1
286;1252;2
242;1252;3
319;300;1
286;300;1
303;300;2
254;294.5;1
230;300;3
286;242;4
289;242;5
313;242;3
257;300;1
257;300;2
264;300;2
291;264;1
247;300;2
240;300;4
261;300;3
247;300;5
287;291;5
255;257.2;2
264;287;2
238;264;1
261;264;2
276;300;3
255;249.5;2
288;258.3333333;2
258;268.5;2
1618;257.2;2
260;273;3
273;721.3333333;4
274;938;5
282;938;6
275;272.25;3
274;272.25;6
1356;273;2
265;300;3
268;300;2
277;300;1
306;300;5
310;300;6
260;1356;7
264;541.5;7
577;300;4
233;281;6
279;285;5
274;343.4;6
314;420.5;9
340;352.75;7
318;420.5;10
330;420.5;8
297;358;11
279;262;9
254;262;8
253;307.4285714;5
258;307.4285714;6
244;312.1666667;7
269;313;8
273;313;8
277;313;10
286;313;9
274;313;11
273;304.5714286;12
255;268.2;15
274;261;16
276;257.6;16
280;261.4285714;17
257;267.4444444;10
263;267.4444444;9
243;269.4444444;11
245;269.4444444;12
294;266.2;11
272;269.4444444;11
268;272.625;12
267;272.625;13
293;267.5;13
314;268.2857143;12
333;274.375;10
299;267.5;14
291;261.625;16
303;264;15
308;267.5;14
256;266.25;19
259;266.25;18
252;266.5;17
276;266.5;16
277;265.4444444;18
300;265.4444444;17
265;263.625;21
307;265.4444444;20
556;274.375;9
263;268.8571429;22
257;289;18
265;288.5833333;20
437;265.4444444;19
296;289;19
290;288.5833333;20
294;286.9166667;19
295;286.9166667;20
280;289.4545455;23
276;289.4545455;24
307;286.9166667;21
295;289.4545455;22
265;288.4166667;24
258;289.3076923;25
264;289.3076923;25
273;289.3076923;26
277;289.3076923;26
277;289.3076923;27
276;289.3076923;29
271;289.3076923;30
274;287.5714286;32
278;287.5714286;31
294;287.5714286;33
278;303.0588235;33
288;303.6875;34
288;303.6875;35
264;297.8571429;35
308;303.6875;33
263;310.8461538;33
265;310.8461538;32
254;297.6666667;24
248;295.7692308;19
266;295.84;19
270;295.84;19
308;297;15
304;285.3043478;16
277;285.9565217;15
286;287.2307692;15
292;275.0588235;15
279;274.2352941;16
305;276.75;14
282;273.8333333;16
293;274.1428571;15
266;272;16
268;272;17
277;277.1538462;17
277;275.1818182;21
284;276.25;20
295;277.1538462;18
274;274.1;23
284;272.7777778;22
310;277.1538462;18
308;276.25;19
282;276.625;24
278;276.625;26
286;276.625;25
299;275.3333333;23
301;276.625;28
274;276.625;32
273;276.625;33
291;276.625;30
293;276.625;31
286;287.4444444;32
280;291.625;32
285;293;31
259;287.2727273;33
305;287.4444444;31
277;287.2727273;32
263;283.1111111;35
287;283;29
286;284.8;29
297;286.25;28
295;286.25;29
297;286.2666667;29
295;286.2666667;32
281;286.2631579;35
300;285.5555556;35
284;286.2631579;36
1018;297;14
289;286.2631579;36
284;286.2631579;35
274;285.7727273;35
315;286.2631579;35
274;286.2916667;33
272;286.2916667;34
292;286.3478261;36
273;285;38
285;285.25;38
298;284.7916667;37
297;284.7916667;38
280;285.0416667;39
305;286.4090909;38
303;286;39
292;285.0416667;40
283;285.0416667;42
285;285.0416667;41
289;285.0416667;40
297;285.0416667;41
306;285.0416667;43
301;285.3913043;44
295;285.4761905;48
320;285.3913043;45
317;285.8571429;47
302;283.6111111;52
294;285.4285714;53
285;285.8636364;55
316;286.15;50
285;285.8636364;56
307;283.6111111;53
309;284.3157895;54
304;285.4285714;53
288;285.6521739;54
306;285.4285714;54
279;316.6666667;55
308;285.4285714;54
289;316.6666667;54
596;286.2631579;36
281;314.96;54
377;283.6111111;50
310;314.96;52
311;314.96;53
289;317.5217391;54
303;314.72;55
302;313.5769231;56
304;314.68;56
318;316.4583333;54
341;317.5217391;55
303;320.1363636;57
344;317.5217391;55
307;320.8571429;57
289;318.826087;57
312;320.8571429;58
292;318.826087;58
328;317.4782609;57
327;320.8571429;57
296;316.72;60
302;317.2083333;59
290;316.3333333;60
315;317.2083333;59
302;315.3571429;60
290;314;58
290;314;59
292;314;58
279;315.2;57
1247;272;15
287;315.3548387;57
308;312.5;47
303;313.5789474;47
311;303.3611111;46
347;313;48
317;303.3611111;47
304;302.7567568;50
314;303.3611111;48
310;302.7567568;49
317;305.5405405;51
315;305.6578947;51
300;306.8648649;53
341;305.5405405;51
339;305.5405405;51
327;305.5526316;51
327;306.4054054;52
311;306.8648649;53
309;306.8648649;54
327;306.8648649;53
312;306.8648649;56
296;309.5384615;55
301;309.375;56
311;310.2195122;55
298;310.2727273;60
286;312.4186047;58
313;311.3409091;58
310;311;59
299;311.1555556;57
366;308.7105263;55
267;311.7272727;56
307;313.0952381;57
287;332.0222222;55
298;332.0222222;55
341;332.4651163;56
334;332.4651163;59
327;335.8717949;60
318;341.3529412;61
314;347.4666667;65
320;347.4666667;64
368;332.4651163;55
339;342.4242424;61
339;342.4242424;61
325;347.4666667;65
329;347.4666667;65
328;336.7419355;66
322;337.7096774;67
328;336.7419355;66
324;338;67
328;335.7428571;67
336;334.5294118;65
332;336.0909091;64
328;335.4705882;65
325;334.4571429;66
335;335.4705882;64
316;334.3589744;64
312;333.1707317;61
311;333.1707317;62
325;334.5526316;64
312;333.1707317;62
309;334.75;65
314;334;64
319;334.2;64
326;334.2;64
317;333.7105263;63
663;306.8648649;57
342;334.75;64
314;336.9142857;61
333;333.7105263;63
354;334.75;65
312;337.0606061;61
330;336.3235294;62
550;331.8444444;57
320;336.4705882;64
331;338.53125;62
332;338.46875;63
333;336.4705882;64
325;337.3142857;65
326;336.3142857;66
325;336.3142857;68
321;336.3142857;69
320;336.3142857;70
319;335.5;72
324;336.3142857;71
324;336.7142857;74
401;311.0606061;75
401;311.0606061;73
397;311.8125;74
391;311.8125;72
410;311.8125;73
327;318.4615385;72
414;311.8125;73
400;311.8125;73
400;311.8125;73
391;313.8333333;74
401;311.8125;73
402;313.8333333;74
397;314.3235294;71
2670;289.3076923;28
408;314.3235294;72
412;315.9189189;72
417;317.2631579;71
340;319.3589744;74
416;317.9444444;72
419;317.9444444;71
416;317.9444444;73
414;318.8421053;74
418;318.5;73
421;318.8421053;74
420;318.1714286;75
431;319.3513514;74
442;318.8421053;74
426;317.9117647;75
426;318.1764706;75
421;319.5142857;74
432;319.5142857;75
412;319.55;73
398;320.025641;73
425;319.3589744;73
396;320;73
413;320.025641;73
395;320.85;73
401;320.9487179;73
394;329.2272727;72
392;330.7727273;73
392;330.7727273;72
397;331.1707317;69
421;329.2272727;72
393;337.8809524;66
373;337.5;62
390;337.2;64
375;338.0638298;64
414;331.1707317;69
375;338.0638298;63
338;337.2352941;68
389;338.3478261;62
378;337.7755102;63
375;337.5;64
381;337.5;64
377;337.2352941;66
377;337.2352941;67
382;337.2352941;68
381;337.2352941;69
388;337.2352941;67
374;337.2352941;67
375;337.2352941;69
378;337.2352941;70
378;337.4375;68
382;337.8510638;67
376;337.8510638;69
391;337.8510638;67
367;341.9268293;69
377;339.5348837;68
401;337.8510638;68
394;338.0930233;67
377;343.2380952;69
434;337.2352941;67
402;343.2380952;69
379;347.875;63
372;348.952381;64
373;352.0952381;64
392;348.952381;64
372;358;66
383;358;67
348;433;71
398;428.7027027;68
405;363.5526316;66
396;428.1578947;70
406;365.027027;67
394;427.7435897;70
401;427.7435897;70
426;428.1578947;68
411;433;71
407;436.7222222;75
425;433.6052632;71
421;432.2432432;73
421;434.4864865;75
419;436.7222222;75
422;438.972973;77
432;436.7222222;76
426;438.972973;78
404;447.0277778;82
430;441.4324324;80
427;438.4166667;81
442;442;78
420;452.4166667;84
419;458.7714286;83
417;466.1891892;81
415;466.3421053;83
432;471.0294118;82
370;443.7169811;81
435;462.675;83
444;466.3421053;83
445;462.675;83
438;460.9512195;83
443;460.9512195;82
393;440.9272727;84
459;460.9512195;84
463;460.9512195;85
450;455.1777778;84
466;460.9512195;85
465;453.7608696;86
460;447.5;85
443;440.9272727;83
449;442.1111111;82
440;441.3888889;84
442;440.5818182;83
473;443.7169811;81
452;441.3888889;84
442;439.0535714;85
447;439.0535714;86
478;436.8965517;90
468;438.6964286;92
481;437.3684211;91
476;436.3448276;92
473;437.7017544;93
466;438.6181818;95
463;439.2962963;93
473;437.9818182;93
479;436.9642857;93
484;436.9642857;92
462;396.2631579;91
487;436.2105263;92
459;395.8928571;90
479;396.4385965;91
472;395.8928571;91
468;396.5892857;92
473;395;89
414;387.8888889;80
466;390.6296296;86
483;392.6727273;88
1116;337.5;64
483;386.9375;67
489;386.5106383;68
516;386.06;77
486;386.9375;68
484;388.4255319;69
475;393.0909091;70
506;388.2040816;68
498;391.0227273;69
482;397.0222222;71
479;399.4651163;69
480;400.4651163;70
506;398.3409091;69
489;400.0714286;70
485;401.3953488;69
501;402.6511628;67
502;402.6511628;67
505;403.2380952;67
515;403.7560976;65
512;403.6097561;65
512;403.925;65
513;405.6190476;65
509;411.15;64
536;407.25;65
519;411.3170732;64
538;411.15;64
541;410.7073171;64
563;414.9069767;64
554;418.9534884;65
565;417.9761905;64
560;420.047619;66
2150;306.8648649;54
560;423.9090909;66
566;423.9090909;66
583;420.047619;66
570;425.9545455;67
577;425.9545455;68
575;428.3181818;69
573;429.0217391;70
580;429.0217391;73
469;453.4047619;83
586;432.5853659;77
613;433.375;80
618;433.375;79
686;423.9090909;66
626;436.5714286;81
605;444.3333333;84
642;438.9302326;82
631;440.8181818;82
859;399.4651163;68
607;447.3777778;82
607;451.9069767;82
413;497.9666667;66
580;454.1707317;81
620;450.452381;82
636;449.9767442;82
515;486.5294118;73
1330;466.3421053;83
425;502.5517241;66
718;442.9047619;83
641;455.7435897;79
606;463.3823529;76
590;484.9354839;74
589;484.9354839;74
644;459.8421053;77
768;442.9047619;84
586;487.3333333;71
574;492.483871;69
574;493.5483871;68
556;497.9666667;66
564;497.9666667;67
582;497.9666667;67
562;497.3548387;65
563;496.8529412;64
576;497.3548387;67
534;504.4482759;65
568;501.2413793;64
552;504.4482759;66
