"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
"2015-02-24 00:00:45";264;5;226
"2015-02-24 00:01:08";264;5;265
"2015-02-24 00:03:34";251;8;994
"2015-02-24 00:06:01";257.25;7;286
"2015-02-24 00:06:45";260;6;947
"2015-02-24 00:08:22";409.75;4;284
"2015-02-24 00:08:25";409.75;5;283
"2015-02-24 00:25:37";947;2;234
"2015-02-24 00:34:47";300;3;285
"2015-02-24 00:42:05";285;3;285
"2015-02-24 00:42:11";285;4;277
"2015-02-24 00:42:15";285;6;277
"2015-02-24 00:42:19";285;7;271
"2015-02-24 00:42:21";285;8;873
"2015-02-24 00:42:52";285;8;291
"2015-02-24 00:43:15";285;10;274
"2015-02-24 00:43:22";285;11;277
"2015-02-24 00:55:37";300;1;230
"2015-02-24 01:19:43";300;1;510
"2015-02-24 01:22:36";300;2;327
"2015-02-24 01:30:26";418.5;2;334
"2015-02-24 01:35:51";300;1;312
"2015-02-24 01:41:40";312;3;299
"2015-02-24 01:45:45";312;4;337
"2015-02-24 01:48:50";299;4;342
"2015-02-24 01:54:28";337;1;578
"2015-02-24 01:58:26";342;1;270
"2015-02-24 01:59:54";300;2;299
"2015-02-24 02:01:29";300;3;331
"2015-02-24 02:39:01";300;1;267
"2015-02-24 02:44:34";267;1;313
"2015-02-24 03:03:03";300;1;313
"2015-02-24 03:05:12";300;2;295
"2015-02-24 03:17:12";300;1;233
"2015-02-24 03:24:48";233;3;242
"2015-02-24 03:26:32";300;3;277
"2015-02-24 03:27:52";300;4;233
"2015-02-24 03:29:16";242;4;242
"2015-02-24 03:31:04";242;4;296
"2015-02-24 03:31:08";242;5;297
"2015-02-24 03:32:36";250.666666666667;6;279
"2015-02-24 03:33:54";250.666666666667;6;368
"2015-02-24 03:34:42";250.666666666667;6;333
"2015-02-24 03:40:00";290.666666666667;1;243
"2015-02-24 03:50:55";300;2;251
"2015-02-24 03:55:04";300;4;296
"2015-02-24 04:09:46";300;1;305
"2015-02-24 04:16:38";305;1;299
"2015-02-24 04:22:20";299;1;244
"2015-02-24 04:24:50";299;3;256
"2015-02-24 04:31:04";250;2;275
"2015-02-24 04:33:06";256;3;225
"2015-02-24 04:35:07";300;4;270
"2015-02-24 04:35:39";275;5;279
"2015-02-24 04:41:37";258;1;956
"2015-02-24 04:44:50";279;2;288
"2015-02-24 04:44:53";279;3;282
"2015-02-24 04:49:02";300;5;290
"2015-02-24 04:51:12";285;4;282
"2015-02-24 04:54:23";286.666666666667;4;240
"2015-02-24 04:55:15";290;6;243
"2015-02-24 04:55:26";290;8;1174
"2015-02-24 04:57:29";286;7;306
"2015-02-24 04:58:37";442;7;853
"2015-02-24 05:01:10";479.666666666667;4;361
"2015-02-24 05:01:25";479.666666666667;3;329
"2015-02-24 05:03:00";263;4;301
"2015-02-24 05:04:01";274.5;4;309
"2015-02-24 05:07:48";345;2;295
"2015-02-24 05:08:21";330.333333333333;2;251
"2015-02-24 05:09:13";325;3;274
"2015-02-24 05:10:14";325;4;269
"2015-02-24 05:12:16";305;5;265
"2015-02-24 05:12:24";305;6;309
"2015-02-24 05:12:46";289;8;279
"2015-02-24 05:18:52";459.2;5;315
"2015-02-24 05:19:12";459.2;6;302
"2015-02-24 05:19:28";459.2;5;255
"2015-02-24 05:20:20";284.333333333333;3;287
"2015-02-24 05:20:35";284.333333333333;4;563
"2015-02-24 05:21:11";284.333333333333;6;303
"2015-02-24 05:21:28";284.333333333333;8;294
"2015-02-24 05:21:37";284.333333333333;10;278
"2015-02-24 05:22:55";300;12;254
"2015-02-24 05:24:47";290.666666666667;11;285
"2015-02-24 05:25:34";289.75;10;331
"2015-02-24 05:26:34";290.571428571429;6;270
"2015-02-24 05:26:39";290.571428571429;5;271
"2015-02-24 05:27:44";286;6;289
"2015-02-24 05:28:33";286;5;270
"2015-02-24 05:28:36";286;6;280
"2015-02-24 05:30:05";323.428571428571;6;279
"2015-02-24 05:30:09";329.5;7;277
"2015-02-24 05:30:58";329.5;10;270
"2015-02-24 05:31:51";329;9;281
"2015-02-24 05:32:01";329;10;279
"2015-02-24 05:32:05";329;12;265
"2015-02-24 05:32:12";344;14;291
"2015-02-24 05:32:35";334.833333333333;15;428
"2015-02-24 05:33:04";325.571428571429;16;435
"2015-02-24 05:35:42";281.888888888889;15;271
"2015-02-24 05:36:44";276.666666666667;15;292
"2015-02-24 05:36:51";276.666666666667;16;275
"2015-02-24 05:37:40";276.888888888889;10;268
"2015-02-24 05:37:45";276.888888888889;11;273
"2015-02-24 05:38:15";277.75;9;299
"2015-02-24 05:39:04";277.428571428571;10;304
"2015-02-24 05:39:06";277.428571428571;11;300
"2015-02-24 05:39:50";302.333333333333;13;261
"2015-02-24 05:39:55";302.333333333333;14;271
"2015-02-24 05:40:10";302.333333333333;15;386
"2015-02-24 05:40:19";315;16;270
"2015-02-24 05:41:47";332;13;292
"2015-02-24 05:42:11";328.166666666667;13;279
"2015-02-24 05:42:13";328.166666666667;14;274
"2015-02-24 05:42:44";320.285714285714;14;451
"2015-02-24 05:43:12";320.285714285714;14;264
"2015-02-24 05:43:19";317.625;14;280
"2015-02-24 05:44:05";317.625;15;302
"2015-02-24 05:44:13";309.636363636364;15;271
"2015-02-24 05:44:16";309.636363636364;16;272
"2015-02-24 05:44:59";293.25;13;270
"2015-02-24 05:45:02";293.25;14;284
"2015-02-24 05:45:05";293.25;15;275
"2015-02-24 05:45:57";281.3;17;295
"2015-02-24 05:46:20";281.3;19;277
"2015-02-24 05:46:28";282;21;300
"2015-02-24 05:46:44";292.4;22;273
"2015-02-24 05:48:43";289.181818181818;19;304
"2015-02-24 05:48:45";287.666666666667;20;275
"2015-02-24 05:48:58";286.461538461538;21;294
"2015-02-24 05:48:59";286.461538461538;22;294
"2015-02-24 05:49:01";286.461538461538;23;271
"2015-02-24 05:49:24";287.363636363636;21;1090
"2015-02-24 05:51:22";296.5625;15;300
"2015-02-24 05:51:57";293.384615384615;14;302
"2015-02-24 05:52:50";295.833333333333;15;424
"2015-02-24 05:53:24";295.416666666667;15;308
"2015-02-24 05:53:28";295.416666666667;16;300
"2015-02-24 05:53:30";295.416666666667;17;304
"2015-02-24 05:53:36";293.538461538462;18;283
"2015-02-24 05:53:41";293.538461538462;18;286
"2015-02-24 05:54:18";297.153846153846;15;313
"2015-02-24 05:54:21";297.153846153846;16;295
"2015-02-24 05:54:26";297.153846153846;16;285
"2015-02-24 05:54:32";299.416666666667;18;285
"2015-02-24 05:54:35";299.416666666667;19;279
"2015-02-24 05:55:15";303.4;20;305
"2015-02-24 05:55:22";287;23;308
"2015-02-24 05:55:24";287;24;280
"2015-02-24 05:55:26";287;25;289
