"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
2015-03-21 00:01:18;470.571428571429;13;273
2015-03-21 00:02:35;487.307692307692;13;289
2015-03-21 00:04:12;512.5;11;293
2015-03-21 00:05:38;536.454545454545;10;888
2015-03-21 00:11:32;291;8;287
2015-03-21 00:12:49;293;11;292
2015-03-21 00:13:30;293;11;1455
2015-03-21 00:14:17;300;14;261
2015-03-21 00:21:21;480.333333333333;5;290
2015-03-21 00:25:12;888;7;278
2015-03-21 00:25:29;300;8;296
2015-03-21 00:30:07;284;12;296
2015-03-21 00:30:20;284;12;326
2015-03-21 00:31:30;287;11;398
2015-03-21 00:31:37;287;12;315
2015-03-21 00:31:38;287;13;315
2015-03-21 00:33:18;287;8;249
2015-03-21 00:36:37;311;6;325
2015-03-21 00:37:43;300.2;5;263
2015-03-21 00:37:45;492.666666666667;5;643
2015-03-21 00:40:01;479.142857142857;7;313
2015-03-21 00:40:04;509.666666666667;9;480
2015-03-21 00:42:06;538;9;293
2015-03-21 00:42:13;538;10;283
2015-03-21 00:47:27;296.333333333333;2;279
2015-03-21 00:51:18;424.75;7;307
2015-03-21 00:56:58;293;2;280
2015-03-21 00:57:40;307;3;279
2015-03-21 00:58:23;307;4;289
2015-03-21 00:58:35;307;5;260
2015-03-21 01:03:40;277;5;274
2015-03-21 01:06:37;277;10;1082
2015-03-21 01:13:27;300;3;239
2015-03-21 01:13:29;300;4;238
2015-03-21 01:15:05;300;6;819
2015-03-21 01:16:11;300;8;294
2015-03-21 01:16:51;300;12;325
2015-03-21 01:16:56;300;13;262
2015-03-21 01:17:40;238.5;14;293
2015-03-21 01:18:18;238.5;14;287
2015-03-21 01:19:06;238.5;13;335
2015-03-21 01:19:42;238.5;14;311
2015-03-21 01:20:35;238.5;15;330
2015-03-21 01:20:40;238.5;16;333
2015-03-21 01:21:30;258.25;13;281
2015-03-21 01:22:08;258.25;12;285
2015-03-21 01:32:43;819;2;277
2015-03-21 01:33:05;819;3;278
2015-03-21 01:33:17;819;4;259
2015-03-21 01:37:47;271.333333333333;3;235
2015-03-21 01:45:14;235;5;280
2015-03-21 01:48:03;300;4;1690
2015-03-21 01:49:57;280;5;1649
2015-03-21 01:54:58;300;0;1237
2015-03-21 01:56:22;300;2;290
2015-03-21 02:08:09;300;4;189
2015-03-21 02:08:27;300;5;305
2015-03-21 02:12:57;189;3;253
2015-03-21 02:22:00;951;3;1510
2015-03-21 02:37:59;300;1;257
2015-03-21 02:41:50;300;3;365
2015-03-21 02:42:41;257;4;290
2015-03-21 02:49:14;721.666666666667;1;212
2015-03-21 02:54:59;212;0;972
2015-03-21 03:01:50;300;2;283
2015-03-21 03:10:33;283;1;269
2015-03-21 03:12:50;972;5;266
2015-03-21 03:12:52;972;6;260
2015-03-21 03:34:37;300;4;700
2015-03-21 04:00:26;300;2;246
2015-03-21 04:06:51;246;2;283
2015-03-21 04:24:45;300;2;307
2015-03-21 04:24:47;300;3;295
2015-03-21 04:28:43;300;3;256
2015-03-21 04:29:02;300;3;1257
2015-03-21 04:32:32;301;3;266
2015-03-21 04:32:35;301;4;713
2015-03-21 04:34:08;286;4;507
2015-03-21 04:39:57;266;4;280
2015-03-21 04:42:59;507;3;257
2015-03-21 04:46:24;500;3;614
2015-03-21 04:48:09;416.666666666667;3;287
2015-03-21 04:50:47;757;2;697
2015-03-21 05:05:27;697;2;267
2015-03-21 05:07:56;300;4;254
