"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
"2015-02-27 00:09:20";300;1;306
"2015-02-27 00:15:13";306;6;295
"2015-02-27 00:16:58";306;9;324
"2015-02-27 00:17:02";306;9;261
"2015-02-27 00:39:31";300;4;284
"2015-02-27 00:40:43";300;5;250
"2015-02-27 00:40:55";300;6;260
"2015-02-27 00:41:00";300;7;268
"2015-02-27 00:41:07";300;8;291
"2015-02-27 00:42:14";300;9;298
"2015-02-27 00:42:22";300;11;286
"2015-02-27 00:42:35";300;11;309
"2015-02-27 00:42:39";300;12;350
"2015-02-27 00:42:44";300;14;292
"2015-02-27 00:44:17";284;14;307
"2015-02-27 00:44:28";284;15;288
"2015-02-27 00:46:05";270.6;12;240
"2015-02-27 00:55:35";300;3;291
"2015-02-27 01:22:56";300;2;286
"2015-02-27 01:23:20";300;3;308
"2015-02-27 01:25:16";300;4;269
"2015-02-27 01:34:56";300;1;266
"2015-02-27 01:42:27";266;2;305
"2015-02-27 01:45:33";300;3;376
"2015-02-27 01:57:05";300;1;299
"2015-02-27 02:02:55";299;2;1316
"2015-02-27 02:31:25";300;1;1055
"2015-02-27 02:35:37";300;2;280
"2015-02-27 02:35:48";300;3;284
"2015-02-27 02:37:28";300;5;296
"2015-02-27 02:41:56";282;4;294
"2015-02-27 02:48:51";294;1;193
"2015-02-27 02:52:45";624;2;287
"2015-02-27 02:55:10";193;1;310
"2015-02-27 03:02:23";298.5;1;249
"2015-02-27 03:07:44";249;2;321
"2015-02-27 03:07:48";249;3;321
"2015-02-27 03:08:35";249;4;325
"2015-02-27 03:10:06";249;4;296
"2015-02-27 03:11:01";249;5;569
"2015-02-27 03:11:06";249;6;328
"2015-02-27 03:12:06";300;7;312
"2015-02-27 03:12:40";300;8;350
"2015-02-27 03:14:40";322.333333333333;5;303
"2015-02-27 03:24:43";436;1;235
"2015-02-27 03:25:08";569;2;257
"2015-02-27 03:27:58";300;3;1451
"2015-02-27 03:33:03";246;2;254
"2015-02-27 03:43:06";300;2;246
"2015-02-27 03:49:02";246;0;805
"2015-02-27 04:11:21";300;1;299
"2015-02-27 04:19:35";299;1;255
"2015-02-27 04:20:40";299;2;301
"2015-02-27 04:23:57";255;3;251
"2015-02-27 04:28:36";269;4;266
"2015-02-27 04:30:49";251;4;319
"2015-02-27 04:33:37";266;3;302
"2015-02-27 04:35:38";266;5;255
"2015-02-27 04:36:05";266;5;265
"2015-02-27 04:39:15";310.5;4;286
"2015-02-27 04:40:18";292;4;298
"2015-02-27 04:41:00";285.25;4;271
"2015-02-27 04:43:55";260;4;254
"2015-02-27 04:46:01";285;3;331
"2015-02-27 04:50:37";254;3;255
"2015-02-27 04:54:34";331;5;303
"2015-02-27 04:54:37";331;6;306
"2015-02-27 04:55:51";293;4;230
"2015-02-27 04:56:14";293;6;271
"2015-02-27 04:56:17";293;7;261
"2015-02-27 04:57:23";255;10;250
"2015-02-27 04:59:57";795.75;8;252
"2015-02-27 05:01:25";619.166666666667;4;231
"2015-02-27 05:07:32";241.5;4;1438
"2015-02-27 05:12:24";300;5;325
"2015-02-27 05:13:10";300;3;354
"2015-02-27 05:13:26";300;4;289
"2015-02-27 05:14:20";300;3;275
"2015-02-27 05:14:21";300;4;277
"2015-02-27 05:14:41";300;5;300
"2015-02-27 05:16:34";300;7;286
"2015-02-27 05:17:51";325;9;299
"2015-02-27 05:18:24";307;10;291
"2015-02-27 05:20:24";303.333333333333;8;303
"2015-02-27 05:21:23";300.857142857143;9;290
"2015-02-27 05:22:30";300.857142857143;8;308
"2015-02-27 05:23:13";297.142857142857;7;253
"2015-02-27 05:25:24";292;7;305
"2015-02-27 05:26:13";293.8;7;291
"2015-02-27 05:28:07";289;5;239
"2015-02-27 05:29:13";288.5;5;292
"2015-02-27 05:30:03";288.5;7;278
"2015-02-27 05:30:04";288.5;8;267
"2015-02-27 05:30:57";289;7;274
"2015-02-27 05:31:19";289.25;8;272
"2015-02-27 05:32:39";568.25;10;279
"2015-02-27 05:32:53";568.25;11;276
"2015-02-27 05:34:28";513;9;259
"2015-02-27 05:34:33";472;10;303
"2015-02-27 05:35:23";444.285714285714;10;257
"2015-02-27 05:36:16";437.142857142857;10;295
"2015-02-27 05:36:31";270.333333333333;11;276
"2015-02-27 05:36:50";270.333333333333;12;276
