"dateAndTime";"fiveMinuteMean";"trafficVolume";"actualTravelTime"
2015-03-23 00:00:59;621;8;266
2015-03-23 00:01:35;770;7;288
2015-03-23 00:05:17;300;5;269
2015-03-23 00:15:46;300;4;686
2015-03-23 00:18:20;2908;3;292
2015-03-23 00:22:17;300;3;252
2015-03-23 00:24:58;292;2;327
2015-03-23 00:29:27;469;6;206
2015-03-23 00:32:13;327;6;282
2015-03-23 00:32:15;327;7;283
2015-03-23 00:32:47;327;9;716
2015-03-23 00:32:56;266.5;10;260
2015-03-23 00:33:04;266.5;11;274
2015-03-23 00:33:35;266.5;13;265
2015-03-23 00:34:38;266.5;11;308
2015-03-23 00:34:42;266.5;12;298
2015-03-23 00:35:27;206;13;355
2015-03-23 00:46:02;535.5;2;2033
2015-03-23 00:58:22;300;2;224
2015-03-23 01:06:55;224;1;290
2015-03-23 01:10:48;300;5;263
2015-03-23 01:17:25;263;2;686
2015-03-23 01:17:29;263;3;267
2015-03-23 01:18:56;263;7;273
2015-03-23 01:18:59;263;8;277
2015-03-23 01:19:06;263;8;288
2015-03-23 01:19:53;263;9;280
2015-03-23 01:20:01;1148;10;280
2015-03-23 01:20:35;2033;11;301
2015-03-23 01:20:45;2033;12;309
2015-03-23 01:40:50;300;1;289
2015-03-23 02:13:56;300;1;290
2015-03-23 02:18:40;300;2;336
2015-03-23 03:02:35;300;1;300
2015-03-23 03:05:08;300;3;274
2015-03-23 03:05:10;300;4;255
2015-03-23 03:07:40;300;5;266
2015-03-23 03:07:51;300;5;300
2015-03-23 03:11:16;276.333333333333;3;323
2015-03-23 03:15:54;283;2;245
2015-03-23 03:21:34;284;1;268
2015-03-23 03:22:52;245;3;273
2015-03-23 03:30:35;270.5;2;278
2015-03-23 03:31:39;273;3;247
2015-03-23 03:34:18;300;3;267
2015-03-23 03:38:01;262.5;2;247
2015-03-23 03:43:31;257;1;242
2015-03-23 03:59:26;300;3;248
2015-03-23 04:03:11;300;3;281
2015-03-23 04:15:03;300;1;524
2015-03-23 04:15:42;300;2;292
2015-03-23 04:18:28;300;3;330
2015-03-23 04:18:30;300;4;308
2015-03-23 04:18:49;300;5;296
2015-03-23 04:19:11;300;6;308
2015-03-23 04:20:26;300;7;264
2015-03-23 04:24:17;350;3;1054
2015-03-23 04:25:32;331.714285714286;3;347
2015-03-23 04:28:38;338.333333333333;3;256
2015-03-23 04:45:44;1054;3;210
2015-03-23 04:54:53;300;2;258
2015-03-23 04:57:30;300;2;272
2015-03-23 04:59:18;258;4;254
2015-03-23 04:59:53;258;5;270
2015-03-23 05:00:23;258;4;2316
2015-03-23 05:00:52;258;5;315
2015-03-23 05:00:57;258;6;301
2015-03-23 05:01:34;258;7;302
2015-03-23 05:02:48;265;7;274
2015-03-23 05:03:23;265;8;285
2015-03-23 05:06:49;285.666666666667;3;287
2015-03-23 05:06:54;285.666666666667;4;284
2015-03-23 05:09:44;295.4;4;316
2015-03-23 05:09:47;295.4;5;1383
2015-03-23 05:11:52;282.5;5;529
2015-03-23 05:12:15;282.5;4;290
2015-03-23 05:12:58;285.333333333333;5;315
2015-03-23 05:13:05;285.333333333333;6;290
2015-03-23 05:14:39;285.5;7;251
2015-03-23 05:15:02;295.666666666667;6;1363
2015-03-23 05:16:04;295.666666666667;6;326
2015-03-23 05:16:49;316;7;284
2015-03-23 05:17:53;303;7;458
2015-03-23 05:20:30;286.5;5;289
2015-03-23 05:23:32;347.5;5;338
2015-03-23 05:24:49;379.666666666667;5;263
2015-03-23 05:25:52;339.25;5;267
2015-03-23 05:26:35;373.5;5;268
2015-03-23 05:26:59;373.5;7;730
2015-03-23 05:27:01;373.5;8;259
2015-03-23 05:27:04;373.5;9;258
2015-03-23 05:27:16;373.5;10;279
2015-03-23 05:27:18;373.5;11;274
2015-03-23 05:27:27;373.5;13;264
2015-03-23 05:27:35;373.5;14;258
2015-03-23 05:27:42;373.5;15;246
2015-03-23 05:28:00;373.5;16;238
2015-03-23 05:28:28;373.5;16;267
2015-03-23 05:28:35;373.5;16;263
2015-03-23 05:29:21;337;19;263
2015-03-23 05:29:27;337;20;266
2015-03-23 05:30:34;289.333333333333;20;258
2015-03-23 05:30:52;289.333333333333;21;250
2015-03-23 05:31:58;267.666666666667;20;276
2015-03-23 05:32:00;267.666666666667;20;277
2015-03-23 05:32:04;267.666666666667;20;266
2015-03-23 05:32:05;267.666666666667;20;263
2015-03-23 05:32:08;267.666666666667;21;258
2015-03-23 05:32:31;267.666666666667;18;259
2015-03-23 05:32:53;353.461538461538;17;253
2015-03-23 05:33:02;341.666666666667;17;261
2015-03-23 05:33:32;341.666666666667;17;251
2015-03-23 05:33:56;332.588235294118;17;272
2015-03-23 05:34:19;336.866666666667;17;270
2015-03-23 05:35:29;330.875;17;342
2015-03-23 05:35:54;330.875;16;276
2015-03-23 05:36:14;335.066666666667;17;267
2015-03-23 05:37:21;343;13;275
2015-03-23 05:37:30;337.533333333333;14;318
2015-03-23 05:38:25;340.285714285714;14;266
2015-03-23 05:38:53;336.2;13;275
2015-03-23 05:39:49;488.9375;13;297
2015-03-23 05:39:54;504.333333333333;14;295
2015-03-23 05:40:40;506.066666666667;15;285
2015-03-23 05:40:42;491.125;16;270
2015-03-23 05:41:01;491.125;16;265
2015-03-23 05:41:11;482.352941176471;17;313
2015-03-23 05:42:39;636.2;15;288
2015-03-23 05:42:43;636.2;16;295
2015-03-23 05:42:52;533.2;19;274
2015-03-23 05:43:09;533.2;20;279
2015-03-23 05:43:32;533.5;19;271
2015-03-23 05:43:38;533.5;20;285
2015-03-23 05:43:48;533.5;21;274
2015-03-23 05:44:49;290.111111111111;20;266
2015-03-23 05:45:18;288.1;18;533
2015-03-23 05:45:59;288.8;16;272
2015-03-23 05:46:10;288.8;18;297
2015-03-23 05:46:24;285.9;18;285
2015-03-23 05:46:32;285.9;18;581
2015-03-23 05:47:06;287.111111111111;19;563
2015-03-23 05:47:26;285.8;21;322
2015-03-23 05:48:07;283.916666666667;20;250
2015-03-23 05:48:50;283.923076923077;17;458
2015-03-23 05:48:51;283.923076923077;18;266
2015-03-23 05:48:58;283.923076923077;19;270
2015-03-23 05:50:11;280.416666666667;21;253
2015-03-23 05:51:10;283.25;18;292
2015-03-23 05:52:55;280.222222222222;13;279
2015-03-23 05:58:29;422.714285714286;21;300
2015-03-23 05:58:31;422.714285714286;22;277
2015-03-23 05:58:39;422.714285714286;24;276
2015-03-23 05:59:18;404.333333333333;24;365
2015-03-23 05:59:26;434.6;26;315
2015-03-23 05:59:30;434.6;27;321
2015-03-23 05:59:35;434.6;26;323
2015-03-23 05:59:51;434.6;27;301
2015-03-23 05:59:54;434.6;28;321
2015-03-23 05:59:58;434.6;28;646
2015-03-23 06:00:19;434.6;28;310
2015-03-23 06:00:20;434.6;29;311
2015-03-23 06:00:22;434.6;30;306
2015-03-23 06:00:24;434.6;31;318
2015-03-23 06:00:35;434.6;29;505
2015-03-23 06:00:46;434.6;30;309
2015-03-23 06:00:54;434.6;29;334
2015-03-23 06:01:00;434.6;30;312
2015-03-23 06:01:09;470.25;30;241
2015-03-23 06:01:13;470.25;30;280
2015-03-23 06:01:30;279;31;317
2015-03-23 06:01:39;279;32;289
2015-03-23 06:01:47;279;34;301
2015-03-23 06:02:53;300;32;286
2015-03-23 06:03:14;277;32;273
2015-03-23 06:03:39;284.333333333333;29;286
